,cost_for_two,cuisines,locality,rest_name
144,,"['Arabian', 'Middle Eastern', 'European']","Hyatt Regency Dubai, Naif",Al Dawaar Revolving Restaurant - Hyatt Regency Dubai
145,,"['Desserts', 'Bakery']",Al Karama,Sugaholic - شوجاهولك
146,,"['Sushi', 'Healthy Food', 'Poké', 'Japanese', 'Asian']",Trade Centre Area,Miyabi Sushi & Bento - ميابي سوشي وبينتو
147,,['Asian'],Vida Downtown,Taikun
148,,"['Indian', 'Chinese', 'North Indian', 'Fast Food']","Cluster I, Jumeirah Lake Towers",Spice Kraft - سبايس كرافت
149,,"['American', 'Fast Food', 'Burger']",Al Quoz,The Boutique Kitchen - ذا بوتيك كيتشن
150,,"['Seafood', 'Indian', 'Chinese']",Al Karama,Smoqoholic Seafood Restaurant & Cafe
151,,"['Cafe', 'Desserts', 'Australian']",Jumeirah 1,Stomping Grounds
152,,"['Desserts', 'Cafe']","Wasl Vita, Jumeirah 1",Molten Me - مولتن مي
153,,"['Finger Food', 'British']",Trade Centre Area,The Stables
154,,"['Indian', 'North Indian', 'Mughlai', 'Chinese', 'Kebab']",Al Karama,Sigdi - سيجدي
155,,"['Salad', 'Healthy Food', 'Juices', 'Burger', 'Coffee', 'Mexican']",Barsha Heights,Krave - كريف
156,,"['Italian', 'Pizza']","Cluster A, Jumeirah Lake Towers",Jazz@PizzaExpress - جاز بيتزا اكسبرس
157,,"['Cafe', 'Healthy Food', 'International']","Wasl Vita, Jumeirah 1",The Coffee Club
158,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Salad', 'Kebab']",Downtown Dubai,Mezza House - بيت المزة
159,,"['Desserts', 'Bakery', 'Beverages', 'Cafe']","The Galleria, Al Safa",Home Bakery
160,,"['Indian', 'Chinese', 'Beverages']","Cluster T, Jumeirah Lake Towers",Khau Galli - خاو غالي
161,,"['Cafe', 'Healthy Food', 'Salad']",Jumeirah 1,Comptoir 102
162,,"['Indian', 'Kerala']",Al Karama,Aaraamam - ارامام
163,,"['Cafe', 'Fast Food', 'Coffee', 'Desserts', 'Tea', 'Beverages']",Oud Metha,Tea Junction Cafe & Lounge
164,,"['Pizza', 'Italian']",Al Karama,Pizza 2 Go - بيتزا 2 جو
165,,['Fast Food'],Al Barsha,Clucker's Wood Roasted Chicken - كلكرز دجاج...
166,,"['Rajasthani', 'North Indian', 'Indian']","Cluster R, Jumeirah Lake Towers",Sagar Ratna - ساغار راتنا
167,,['Mexican'],Umm Suqeim,Maria Bonita
168,,['Irish'],"Century Village, Garhoud",The Irish Village
169,,"['Asian', 'Sushi', 'Japanese', 'Salad']","Sofitel Dubai Downtown, Downtown Dubai",Wakame - Sofitel Dubai Downtown - وكامي -...
170,,"['Turkish', 'Kebab']","Dubai Festival City Mall, Festival City",Sultan Baba Iskender - سلطان بابا اسكندر
171,,['Egyptian'],Al Barsha,Al Amoor Express - الأمور اكسبرس
172,,"['Biryani', 'Indian', 'Pakistani']",Hor Al Anz,Deccan Biryani - دكن برياني
173,,"['Mediterranean', 'Italian', 'Pizza']","Anantara The Palm Dubai Resort, Palm Jumeirah",The Beach House - Anantara The Palm Dubai Resort
174,,['Greek'],"Mina A' Salam, Madinat Jumeirah",Shimmers - Mina A' Salam
175,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Safa,Maraheb - مراحب
176,,"['Asian', 'Thai', 'Chinese', 'Street Food', 'Japanese']",Jumeirah 1,Prax's - براكسس
177,,['Korean'],"Cluster O, Jumeirah Lake Towers",Hyu Korean Restaurant
178,,"['Cafe', 'Bakery', 'Desserts']","The Dubai Mall,Downtown Dubai",Magnolia Bakery - ماغنوليا بيكري
179,,"['Pakistani', 'Indian', 'Biryani', 'BBQ']",Al Barsha South,Khaana Badosh - كهانا بادوش
180,,"['Asian', 'Sushi', 'Japanese', 'Salad']","Sofitel Dubai Downtown, Downtown Dubai",Wakame - Sofitel Dubai Downtown - وكامي -...
181,,"['Turkish', 'Kebab']","Dubai Festival City Mall, Festival City",Sultan Baba Iskender - سلطان بابا اسكندر
182,,['Egyptian'],Al Barsha,Al Amoor Express - الأمور اكسبرس
183,,"['Biryani', 'Indian', 'Pakistani']",Hor Al Anz,Deccan Biryani - دكن برياني
184,,"['Mediterranean', 'Italian', 'Pizza']","Anantara The Palm Dubai Resort, Palm Jumeirah",The Beach House - Anantara The Palm Dubai Resort
185,,['Greek'],"Mina A' Salam, Madinat Jumeirah",Shimmers - Mina A' Salam
186,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Safa,Maraheb - مراحب
187,,"['Asian', 'Thai', 'Chinese', 'Street Food', 'Japanese']",Jumeirah 1,Prax's - براكسس
188,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Healthy Food']",Barsha Heights,Manoushe Street
189,,"['Pakistani', 'Indian', 'Biryani', 'BBQ']",Al Barsha South,Khaana Badosh - كهانا بادوش
190,,['Korean'],"Cluster O, Jumeirah Lake Towers",Hyu Korean Restaurant
191,,"['Cafe', 'Bakery', 'Desserts']","The Dubai Mall,Downtown Dubai",Magnolia Bakery - ماغنوليا بيكري
192,,['Japanese'],Business Bay,Kimura-Ya Authentic Japanese Restaurant
193,,"['Lebanese', 'Arabian', 'Grill', 'Middle Eastern']","Russia Cluster, International City",Dyar Al Sham - ديار الشام
194,,"['Asian', 'Chinese']","The Dubai Mall,Downtown Dubai",P.F. Chang's - بي.ف. تشانغز
195,,"['Thai', 'Chinese', 'Indian', 'Malaysian', 'Continental']","Park Regis Kris Kin Hotel, Al Karama",Kris With A View - Park Regis Kris Kin Hotel
196,,"['Japanese', 'Asian']","Millennium Airport Hotel Dubai, Garhoud",Fujiya Japanese Restaurant - مطعم فوجيا...
197,,"['North Indian', 'South Indian', 'Chinese', 'Fast Food', 'Beverages']",Mankhool,Bombay Bites - بومباي بايتس
198,,"['Desserts', 'Beverages']",Al Nahda,Kulfilicious - كولفيليشوس
199,,"['Japanese', 'Peruvian', 'Sushi', 'Healthy Food', 'Asian']","Atlantis, The Palm, Palm Jumeirah","Nobu - Atlantis, The Palm"
200,,"['North Indian', 'Seafood', 'Indian']","Grosvenor House, Dubai Marina",Indego by Vineet - Grosvenor House
201,,"['Filipino', 'Japanese', 'Asian']","Wasl Hub, Al Karama",Hot Palayok Restaurant - مطعم هوت بالايوك
202,,"['Pakistani', 'Indian', 'Asian', 'Kebab']",Jumeirah 1,Lal Qila - لال قلعة
203,,"['Indian', 'Biryani']",Al Karama,Bhai Kadai Biryani - بهاي كاداي برياني
204,,"['North Indian', 'South Indian', 'Chinese', 'Street Food', 'Desserts', 'Beverages']",Al Karama,Urban Tadka - اربن تادكا
205,,"['Cafe', 'International', 'Desserts']","Wasl 51, Jumeirah 1",Brunch & Cake
206,,"['Cafe', 'Brazilian', 'Healthy Food']","City Centre Deira, Deira City Centre Area",The Acai Spot - ذا اكاي سبوت
207,,"['Indian', 'Gujarati']",Al Karama,Kathiyawadi Express - كاتاوادي إكسبرس
208,,['American'],"Le Méridien Dubai Hotel & Conference Centre, Garhoud",Warehouse - Le Méridien Dubai Hotel & Conference...
209,,['Seafood'],"Le Méridien Mina Seyahi Beach Resort & Marina, Dubai Marina",Fish Beach Taverna - Le Méridien Mina Seyahi Beach...
210,,"['Biryani', 'Indian']",Al Karama,SS Bucket Biryani - إس إس باكيت برياني
211,,"['Mediterranean', 'Asian']","The H Dubai, Trade Centre Area",Play Restaurant & Lounge
212,,['Greek'],"Majestic City Retreat Hotel, Mankhool",Elia - Majestic City Retreat Hotel
213,,['Pizza'],Al Garhoud,Debonairs Pizza - ديبونيرز بيتزا
214,,"['North Indian', 'Biryani', 'Indian', 'Kebab', 'Chinese', 'Street Food']","Cluster J, Jumeirah Lake Towers",Memsaab Curry & Tandoor - ممساب كري و...
215,,['Asian'],"Majestic City Retreat Hotel, Mankhool",Miss Wáng - Majestic City Retreat Hotel
216,,"['Indian', 'North Indian']","Armani Hotel Dubai, Downtown Dubai",Armani Amal - Armani Hotel Dubai
217,,"['Arabian', 'Middle Eastern']",Al Karama,Al Damyati & Iskandaron
218,,"['Asian', 'Arabian', 'North Indian', 'Desserts', 'International']","Atlantis, The Palm, Palm Jumeirah",Kaleidoscope - Atlantis The Palm
219,,"['Arabian', 'Middle Eastern']",Palace Downtown,Ewaan- Palace Downtown
220,,"['Burger', 'Fast Food']","The Dubai Mall,Downtown Dubai",Shake Shack - The Dubai Mall - شيك شاك -...
221,,"['Cafe', 'Desserts', 'Healthy Food']",Umm Suqeim,Tania’s Teahouse
222,,['Healthy Food'],"Cluster J, Jumeirah Lake Towers",Little Erth by Nabz & G - ليتل ايرث باي...
223,,"['Bakery', 'Desserts']",Al Karama,Brownie Point - بروني بوينت
224,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Bakery']","Cluster J, Jumeirah Lake Towers",Something Baked - شمثينغ بايكد
225,,"['Indian', 'Arabian', 'Middle Eastern', 'International']",Jumeirah 1,Old Castello Restaurant & Cafe
226,,"['North Indian', 'Seafood', 'Indian']","Grosvenor House, Dubai Marina",Indego by Vineet - Grosvenor House
227,,"['Pakistani', 'Indian', 'Beverages', 'Desserts']","Cluster G, Jumeirah Lake Towers",Little Lahore - ليتل لاهور
228,,"['Lebanese', 'Arabian', 'Mediterranean', 'Healthy Food']",Jumeirah Lake Towers (JLT),Lokmet Gibran - لقمة جبران
229,,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",Al Karama,Elco Veg Dine - مطعم إلكو
230,,['Italian'],"The Westin Dubai Mina Seyahi, Dubai Marina",Bussola - The Westin Dubai Mina Seyahi
231,,"['International', 'Fast Food']","Citymax Hotel Bur Dubai, Mankhool",The Huddle Sports Bar and Grill - Citymax Hotel Bur...
232,,"['Indian', 'Maharashtrian']",Al Karama,Peshwa Restaurant - مطعم بيشوا
233,,"['Cafe', 'Nepalese', 'Beverages', 'Chinese', 'Street Food']",Al Karama,Darjeeling Cafe - دارجلنج كافتيريا
234,,"['Indian', 'Street Food', 'Fast Food', 'Juices']",Meena Bazaar,Bombay Times - بومباي تايمز
235,,"['Australian', 'Cafe']",The Greens,Arrows & Sparrows Café and More
236,,"['European', 'Mediterranean']",Jumeirah Beach Residence (JBR),Zero Gravity
237,,"['Thai', 'Chinese', 'Singaporean', 'Asian', 'Desserts', 'Beverages']","Bay Avenue, Business Bay",Tangerine - تانجيرين
238,,"['Japanese', 'Italian', 'Mediterranean']","Emirates Financial Towers, DIFC",AER Restaurant and Bar
239,,"['Pakistani', 'Indian', 'Street Food']",Qusais,Desi Adda - ديسي ادا
240,,"['Indian', 'North Indian']",Dubai Internet City,Paratha King - براتا كينج
241,,['International'],Nad Al Sheba,Iris Dubai
242,,"['Pizza', 'Italian']","Cluster D, Jumeirah Lake Towers",Pitfire Pizza - بت فاير بيتزا
243,,"['Pakistani', 'Indian', 'Mughlai', 'Chinese', 'Kebab']",Al Satwa,Ravi Restaurant
244,,"['Seafood', 'Grill', 'Biryani', 'South Indian', 'Kerala']",Al Barsha,MotaFish Restaurant - مطعم موتا الاسماك
245,,['Chinese'],Al Karama,The Monk - ذي مونك
246,,['Chinese'],Al Karama,Gypsy Chinese Restaurant - مطعم جيبسي...
247,,"['Burger', 'Fast Food']",Al Safa,High Joint - هاي جوينت
248,,"['Asian', 'Japanese']","Crowne Plaza Dubai, Trade Centre Area",wagamama - Crowne Plaza Dubai
249,,['Mexican'],"Cluster D, Jumeirah Lake Towers",Chalco's Mexican Grill - تشالكوس...
250,,"['Poké', 'Healthy Food', 'Seafood']",Business Bay,CALI-POKE California Seafood House - كالى بوك
251,,"['Vietnamese', 'Healthy Food', 'Asian']","Cluster D, Jumeirah Lake Towers",Vietnamese Foodies
252,,['Mediterranean'],"Taj Dubai, Business Bay",Treehouse - Taj Dubai
253,,"['Indian', 'Street Food', 'Chinese', 'Italian']","Hotel ibis World Trade Centre, Trade Centre Area",Headlines Executive - ibis World Trade Centre
254,,"['Indian', 'North Indian', 'Rajasthani', 'Kebab']",Al Karama,Manvaar - المنفار
255,,"['Grill', 'Seafood', 'Steak']","Al Seef, Umm Hurair",Doors Freestyle Grill
256,,"['Pakistani', 'North Indian', 'Chinese']",Al Karama,Lahori Chatkhara - لاهوري جاتكارا
257,,"['Lebanese', 'Indian', 'Desserts', 'Beverages']",Jumeirah 1,The Jungle Courtyard Restaurant & Cafe
258,,"['Indian', 'Asian', 'Biryani']",Al Karama,Delhi Darbar - دلهي دربار
259,,"['Indian', 'North Indian']","Citymax Hotel Bur Dubai, Mankhool",Claypot - Citymax Hotel Bur Dubai
260,,['North Indian'],"England Cluster, International City",Pure Punjabi - بيور بنجابي
261,,"['Australian', 'European', 'American', 'Beverages']","Dusit Thani Dubai, Trade Centre Area",Jones The Grocer - Dusit Thani Dubai
262,,"['Sushi', 'Japanese']","The Dubai Mall,Downtown Dubai",YO! Sushi - يو! سوشي
263,,"['Indian', 'North Indian', 'Kebab']",Oud Metha,Punjabi Dhaba - بنجابى دابا
264,,"['American', 'Bakery', 'Desserts']","CITY WALK, Al Safa",Clinton Street Baking Company - CITY WALK
265,,"['Bakery', 'Desserts']",Al Quoz,SugarMoo - شوغرمو
266,,"['Indian', 'South Indian']",Al Karama,Shri Krishna Bhavan - شري كريشنا بهافان
