,cost_for_two,cuisines,locality,rest_name
143,,"['Pakistani', 'Chinese', 'Asian', 'Indian', 'Seafood', 'Afghan']",Madinat Zayed,Al Ibrahimi Restaurant
144,,"['Fast Food', 'American']",Al Markaziya,KFC
145,,"['European', 'Middle Eastern', 'Indian']","Conrad Abu Dhabi Etihad Towers, Al Khubeirah",Rosewater - Conrad Abu Dhabi Etihad Towers
146,,['Cafe'],Al Bateen,Joud Cafe
147,,"['Indian', 'Fast Food', 'Asian']",Najda,Extra Cheese
148,,"['Indian', 'Street Food', 'Chinese', 'Beverages']",Al Markaziya,Bhavna
149,,"['European', 'Australian', 'Cafe']",Al Nahyan,Jones the Grocer - Mamoura
150,,"['Chinese', 'Seafood']",Tourist Club Area (Al Zahiyah),Mongolian Chinese Restaurant
151,,"['Sushi', 'Italian', 'Burger', 'Pizza', 'Salad']",Marina Village,Casper & Gambini's
152,,"['Desserts', 'Cafe', 'French']",Embassies District,La Crème Brulee Maison
153,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Khalidiya,Man'oushe W Sandwiche
154,,['Japanese'],Tourist Club Area (Al Zahiyah),Samurai Japanese Restaurant
155,,"['Healthy Food', 'Middle Eastern', 'Cafe']",Al Shahama,Cafe Mandarina
156,,"['Mandi', 'Arabian', 'Middle Eastern', 'Grill']",Mussafah Sanaiya,Flaming Hot Al Mandi & Al Madbi Restaurant
157,,"['Steak', 'Seafood', 'International']",Al Nahyan,Rolls N Rice
158,,"['Italian', 'Pizza']","Beach Rotana, Tourist Club Area (Al Zahiyah)",Prego's - Beach Rotana
159,,"['South Indian', 'North Indian', 'Chinese', 'Seafood']",Madinat Zayed,Kudla The Subhiksha Restaurant
160,,"['Seafood', 'Beverages']","Yas Marina, Yas Island",Aquarium
161,,['Belgian'],"InterContinental Abu Dhabi, Al Khubeirah",Belgian Cafe - InterContinental Hotel
162,,"['Street Food', 'Middle Eastern', 'Arabian', 'Salad']",Al Nahyan,Operation:Falafel
163,,['South Indian'],Al Markaziya,Spicy Tamilnadu Restaurant
164,,['Fast Food'],Tourist Club Area (Al Zahiyah),Chicken King Restaurant
165,,"['Indian', 'Chinese']",Al Markaziya,Sangam
166,,['Vietnamese'],"World Trade Center Mall, Al Markaziya",Hanoi Naturally - World Trade Center Mall
167,,"['Japanese', 'Seafood', 'Sushi']","Mushrif Mall, Al Mushrif",Jimmy's Killer Prawns
168,,['Fast Food'],Tourist Club Area (Al Zahiyah),Hardee's
169,,"['Cafe', 'Burger']",Al Mushrif,Egg Shack Cafe
170,,"['Japanese', 'Sushi', 'Asian', 'Poké']",Masdar City,Sumo Sushi & Bento - سومو سوشي وبنتو
171,,['Chinese'],"Emirates Palace, Al Ras Al Akhdar",Hakkasan - Emirates Palace
172,,['Fast Food'],Al Khalidiya,Ketchup and Mustard
173,,"['Lebanese', 'Arabian', 'Middle Eastern', 'BBQ', 'Desserts', 'Fast Food', 'Grill', 'Kebab']",Al Dhafrah,Maroosh
174,,"['North Indian', 'Chinese']",Muroor,Tikka Town
175,,"['Filipino', 'Asian']",Al Dhafrah,Ortego's Deli
176,,"['Arabian', 'Middle Eastern', 'Indian', 'Italian']","Shangri La, Al Maqtaa",Sofra bld
177,,"['Steak', 'Salad']","Souk Qaryat Al Beri, Al Maqtaa",The Meat Co
178,,"['Cafe', 'Pizza', 'Burger', 'Bakery', 'Healthy Food']",Al Raha,Tawa Bakery
179,,['Italian'],"The St. Regis Abu Dhabi, Al Khubeirah",Villa Toscana
180,,"['Cafe', 'Pizza', 'Burger', 'Bakery', 'Healthy Food']",Al Raha,Tawa Bakery
181,,"['Lebanese', 'Arabian', 'Middle Eastern']","InterContinental Abu Dhabi, Al Khubeirah",Byblos Sur Mer
182,,"['Indian', 'Asian Fusion', 'BBQ', 'Chinese', 'Continental', 'International', 'Mexican', 'Oriental']",Al Markaziya,Paris Kitchen Restaurant
183,,"['Lebanese', 'Arabian', 'Middle Eastern']","Eastern Mangroves Promenade, Eastern Mangroves",Cafe Blanc
184,,"['Steak', 'American', 'Tex-Mex']",Tourist Club Area (Al Zahiyah),Fridays
185,,"['Mexican', 'Tex-Mex']","The Galleria, Al Maryah Island",Taqado Mexican Kitchen
186,,"['Italian', 'Fast Food', 'Beverages']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Il Forno
187,,"['Chinese', 'Thai', 'Salad', 'Seafood']","Mushrif Mall, Al Mushrif",Lemongrass Thai Restaurant
188,,['Asian'],Al Dhafrah,Panda Bao Bao
189,,"['Emirati', 'Beverages']","Yas Mall, Yas Island",Al Fanar Restaurant & Cafe - الفنر
190,,"['Indian', 'South Indian']","Yas Mall, Yas Island",Asha's
191,,"['Indian', 'Chinese']",Al Markaziya,Eldorado Restaurant
192,,"['Indian', 'North Indian', 'Mughlai', 'Biryani']",Al Raha,Kababs & Kurries
193,,"['Pizza', 'Fast Food']","Al Wahda Mall, Al Wahda",Papa John's
194,,"['Burger', 'Fast Food']",Al Mushrif,Burger28
195,,"['Burger', 'American']",Embassies District,Burger Hood
196,,"['Indian', 'North Indian', 'Kebab']",Al Khalidiya,Punjabi Dhaba
197,,['Fast Food'],Al Markaziya,Taza
198,,"['Indian', 'North Indian']","Yas Island Rotana, Yas Island",Rangoli - Yas Island Rotana
199,,"['Fast Food', 'American']","World Trade Center Mall, Al Markaziya",Dairy Queen Grill & Chill
200,,"['Burger', 'American']","Marina Mall, Marina Village",Five Guys
201,,"['Asian', 'Sushi', 'Tapas']","Venetian Village, Al Maqtaa",Barfly by Buddha Bar
202,,"['Peruvian', 'Latin American', 'Grill', 'Seafood']","The Galleria, Al Maryah Island",COYA
203,,"['Indian', 'Street Food', 'Desserts']",Al Markaziya,Sandesh Sweets
204,,"['American', 'Desserts']","World Trade Center Mall, Al Markaziya",Sugar Factory
205,,"['Asian', 'Thai', 'Chinese', 'Filipino', 'Singaporean', 'Indonesian']",Tourist Club Area (Al Zahiyah),Asian Plates
206,,"['Cafe', 'Healthy Food', 'American', 'International', 'Desserts', 'Beverages']","Yas Mall, Yas Island",The Coffee Club
207,,['Mexican'],"Khalidiyah Mall, Al Khalidiya",Cantina Laredo
208,,"['Indian', 'North Indian']","Beach Rotana, Tourist Club Area (Al Zahiyah)",Indigo - Beach Rotana
209,,"['Goan', 'Seafood']","Hawthorn Suites By Wyndham, Tourist Club Area (Al Zahiyah)",Casa Goa
210,,"['Indian', 'Arabian', 'Middle Eastern', 'Continental', 'European']","The St. Regis Abu Dhabi, Al Khubeirah",The Terrace on the Corniche
211,,"['Chinese', 'Biryani', 'Mughlai', 'South Indian', 'Indian', 'North Indian']",Al Khalidiya,Spicy Hut
212,,"['Italian', 'Fast Food']",Al Dhafrah,Gino's Deli
213,,"['Pakistani', 'Indian']",Madinat Zayed,Sahar
214,,['Indian'],"Conrad Abu Dhabi Etihad Towers, Al Khubeirah",Moksh Restaurant & Lounge - Conrad Abu Dhabi Etihad...
215,,"['Arabian', 'Middle Eastern']",Al Khalidiya,Flame and Bake
216,,['Mediterranean'],Al Raha,Pacifico TIKI Dining Lounge
217,,"['Desserts', 'Cafe']",Al Nahyan,Yummy In My Tummy
218,,"['Kerala', 'Indian', 'South Indian', 'Chinese']",Mussafah Shabiya,Malabar Junction
219,,['Seafood'],Madinat Zayed,Tasha
220,,"['Korean', 'Japanese']","Cristal Hotel, Madinat Zayed",The Taste Of Korea
221,,['Desserts'],"Dalma Mall, Mussafah Sanaiya",Dip N Dip
222,,"['Italian', 'Pizza', 'Arabian', 'Middle Eastern', 'Lebanese']","Paragon Mall, Al Reem Island",First Clique - Paragon Mall
223,,"['Arabian', 'Middle Eastern']",Al Khalidiya,Besbas
224,,['Mexican'],"Park Inn, Yas Island",Amerigos Mexican Bar and Restaurant
225,,['Steak'],"Southern Sun Abu Dhabi, Tourist Club Area (Al Zahiyah)",The Foundry
226,,['Pakistani'],Al Markaziya,Punjab Flower Restaurant
227,,"['Asian', 'Chinese', 'Thai']",Al Khalidiya,Ziuko
228,,"['Sushi', 'Japanese', 'Asian']","Four Seasons Hotel Abu Dhabi, Al Maryah Island",99 Sushi Bar & Restaurant Abu Dhabi
229,,"['Indian', 'North Indian', 'Street Food', 'Desserts']",Mussafah Shabiya,Taste Of Punjab
230,,"['French', 'Bakery']",Al Nahyan,Pascal Tepper
231,,"['Italian', 'Pizza']","Crowne Plaza Abu Dhabi, Al Markaziya",Spaccanapoli - Crowne Plaza Abu Dhabi
232,,['Emirati'],Embassies District,Yadoo's House
233,,"['Fast Food', 'Lebanese']",Istiqlal,Manakish Express - مناقيش اكسبرس
234,,"['Chinese', 'Beverages']",Madinat Zayed,Beijing Restaurant
235,,"['Indian', 'North Indian']",Al Markaziya,Anand Al Saeed
236,,"['Seafood', 'Beverages']","Marina Mall, Marina Village",Joe's Crab Shack
237,,['American'],"World Trade Center Mall, Al Markaziya",Back Yard Bistro
238,,['Desserts'],Al Dhafrah,Ibsais
239,,"['Mediterranean', 'Cafe', 'Italian', 'Pizza']",Al Raha,Andiamo! Bistro
240,,['Desserts'],Al Dhafrah,Ibsais
241,,"['Mediterranean', 'Cafe', 'Italian', 'Pizza']",Al Raha,Andiamo! Bistro
242,,"['Seafood', 'Beverages']","Marina Mall, Marina Village",Joe's Crab Shack
243,,"['Maharashtrian', 'Street Food']",Al Markaziya,Suruchi Restaurant
244,,"['Chinese', 'Filipino']","Al Mariah Mall, Al Markaziya",Oriental Korner
245,,"['Indian', 'North Indian', 'South Indian', 'Seafood', 'Kebab', 'Biryani']",Al Dhafrah,Tiffin & More
246,,"['Asian', 'Chinese', 'Vietnamese', 'Thai', 'Malaysian']","The Ritz-Carlton Abu Dhabi, Al Maqtaa",Li Jiang
247,,"['Armenian', 'Arabian', 'Middle Eastern', 'Grill']",Najda,Lahmajoon
248,,"['Indian', 'South Indian', 'Kerala']",Al Markaziya,Madurai
249,,"['Indian', 'North Indian']",Al Nahyan,Royal Maharaj Mahal
250,,"['Indian', 'Beverages']",Al Markaziya,Paratha King
251,,['Lebanese'],Najda,Lebanese  Mill
252,,"['Steak', 'Turkish', 'Beverages']","The Galleria, Al Maryah Island",Nusr - Et Steakhouse
253,,"['Fast Food', 'Juices', 'Tea']",Tourist Club Area (Al Zahiyah),Yalla Shay
254,,"['Japanese', 'Sushi']","Radisson Blu Hotel & Resort, Al Khubeirah",Toki
255,,"['Fast Food', 'Desserts', 'Bakery']",Al Markaziya,Occasions Sweets
256,,"['Pizza', 'Italian']",Al Mushrif,Pinza
257,,"['American', 'European', 'Salad']","Le Royal Meridien, Al Markaziya",Market Kitchen - Le Royal Meridien
258,,"['American', 'Seafood']",Najda,hooked
