,cost_for_two,cuisines,locality,rest_name
168,,"['Desserts', 'Bakery']",Nuaimiya,Roche
169,,"['Beverages', 'Desserts']",Al Muwaihat,Raspberry Shake
170,,"['Fast Food', 'Seafood', 'Burger', 'Juices']",Al Zahra,Shrimp Box
171,,"['Indian', 'South Indian', 'Desserts']",Nuaimiya,New Madras Restaurant
172,,"['Fast Food', 'Juices', 'Burger']",Ajman Corniche,Al Mamzar Cafeteria
173,,['International'],Al Tallah,Wrapped
174,,['Indian'],Ajman Industrial Area,Bombay Jaipur Restaurant
175,,"['Kerala', 'South Indian']",Al Nakhil,Chayakada Restaurant
176,,"['Arabian', 'Iranian']",Nuaimiya,Shiraz Al Shaebi Restaurant & Kitchen
177,,"['Pizza', 'Fast Food']",Nuaimiya,Domino's
178,,"['Pakistani', 'Desserts']",Al Nakhil 1,Osama Sweets & Restaurant
179,,"['Ice Cream', 'Desserts']","City Centre Ajman, Al Jurf",Baskin  Robbins - City Centre Ajman
180,,"['Arabian', 'Middle Eastern']",Al Rashidiya 3,Bukhari Al Khaleej Restaurant
181,,"['Burger', 'Fast Food']",Al Muwaihat,Traffic Burger
182,,['Italian'],"City Centre Ajman, Al Jurf",Vanellis
183,,"['Arabian', 'Middle Eastern', 'Fast Food']",Al Rashidiya 1,Abdoun Falafel
184,,['Desserts'],Al Hamidiya,Floe
185,,"['Burger', 'Fast Food', 'Beverages']",Al Rashidiya 3,Tea N Cafe
186,,"['Arabian', 'Middle Eastern']",Nuaimiya,Al Hammadi Cafeteria & Falafel
187,,"['Yemeni', 'Mandi', 'Middle Eastern', 'Arabian', 'Juices']",Al Rashidiya 3,Mkhbazat Al Yamen Restaurant
188,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Street Food']",Al Tallah,BAK BAK Chicken
189,,['Cafe'],"City Centre Ajman, Al Jurf",Gerard
190,,"['Coffee', 'Beverages']",Ajman Corniche,Berlin Restaurant & Coffee Shop
191,,"['Fast Food', 'Burger']",Al Rashidiya 3,Farooj Express Restaurant
192,,"['Filipino', 'African']",Al Rashidiya 1,Africana Home Restaurant & Grills
193,,"['Beverages', 'Ice Cream', 'Juices']",Al Hamidiya,Juice Bar
