,cost_for_two,cuisines,locality,rest_name
249,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Street Food']",Al Nahda,Falafil Shawerma & More
250,,"['Fast Food', 'Healthy Food', 'American', 'Salad']",Al Taawun,Subway
251,,['Seafood'],Al Majaz,Fish Basket Restaurant
252,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Street Food']",Al Majaz,Koukh Filfilah
253,,"['Fast Food', 'Burger']",University City,The Kitchen Corner
254,,['Fast Food'],"Sharjah Co-Operative Society, University City",Calimero Cafeteria
255,,"['Fast Food', 'Burger']",University City,The Kitchen Corner
256,,['Fast Food'],"Sharjah Co-Operative Society, University City",Calimero Cafeteria
257,,"['Chinese', 'North Indian', 'Indian']",Al Majaz,Asia Flavour Restaurant
258,,"['Fast Food', 'Juices', 'Indian', 'Chinese']",Al Majaz,Sharjah Falcon Cafeteria
259,,"['North Indian', 'South Indian', 'Chinese']",Muwailih Commercial,Qasr Al Hira Restaurant
260,,"['North Indian', 'Chinese']",Al Manakh,Sharjah Palace Restaurant
261,,['Cafe'],Souq Al Shanasiyah,Ratios Coffee
262,,"['Indian', 'Fast Food', 'Continental', 'Beverages']",Al Nahda,Zaweyat Al Nahda
263,,"['Indian', 'North Indian']",Muwailih Commercial,Al Wajbah Al Lazizah (Punjabi Chaska)
264,,"['Fast Food', 'Beverages', 'Lebanese']",Al Soor,Falafil Mazra Cafeteria - فلافل المزرعة
265,,"['Arabian', 'Fast Food', 'BBQ']",Halwan Suburb,Chicken King Restaurant
266,,"['Indian', 'Grill', 'Pakistani', 'Fast Food', 'Beverages']",Al Nahda,Bait Al Rawi Restaurant
267,,"['North Indian', 'Pakistani', 'Biryani', 'Street Food']","Safeer Mall, Al Nahda",Rice Factory
268,,"['Fast Food', 'American', 'Burger']",Al Majaz,Texas Chicken
269,,"['Fast Food', 'Grill', 'Biryani', 'Arabian']",Al Manakh,Hi Broast
270,,"['Arabian', 'Middle Eastern', 'Biryani', 'Juices']",Al Mareija,Spot Grill Restaurant & Cafeteria
271,,"['Arabian', 'Middle Eastern', 'Fast Food']",University City,Atyab Falafel
272,,"['Arabian', 'Middle Eastern', 'Bakery']",Al Mahatah,Bait Al Fataier Al Shamih
273,,['Fast Food'],"Mega Mall, Abu Shagara",Popeyes
274,,['Indian'],Al Taawun,Rahul Pankaj Cafeteria
275,,"['North Indian', 'South Indian', 'Street Food', 'Chinese', 'Pizza']",Al Mahatah,Mathura Restaurant ( Qasr Al Tawabel )
276,,"['Arabian', 'Middle Eastern', 'Fast Food', 'Desserts']",Al Taawun,Feras Sweets - حلويات فراس
277,,"['Fast Food', 'Beverages']",Al Nahda,WOW! Momo & Lassi
278,,"['Juices', 'Desserts', 'Ice Cream']",Al Majaz,Papaya Juices
279,,"['Fast Food', 'Seafood']",University City,Shrimp House
280,,"['Italian', 'Sushi']",University City,Food Box
281,,"['South Indian', 'Grill', 'Chinese', 'Fast Food', 'Beverages']",Al Nahda,Beanstalk
282,,"['Street Food', 'Arabian', 'Middle Eastern']",Al Taawun,Falafil Al Rabiah Al Khadra Cafeteria
283,,"['Italian', 'Pizza', 'Pasta']","Sahara Centre, Al Nahda",Vanellis
284,,"['Ice Cream', 'Cafe']",University City,Cremolata
285,,"['Indian', 'South Indian', 'North Indian', 'Chinese']",Al Ghuwair,Amrutha Restaurant
286,,"['Indian', 'South Indian', 'North Indian']",Al Mareija,Uttam Restaurant
287,,"['Chettinad', 'North Indian', 'South Indian']",Industrial Area,Wadi Al Madeena
288,,"['Filipino', 'Burger', 'Fast Food']",Al Nabba,Chicago Fried Chicken
289,,"['Desserts', 'Ice Cream', 'Beverages']",Al Khan,Asal Aswad
290,,"['Pakistani', 'Indian', 'Afghan', 'Biryani']",Al Nud,Al Juma Restaurant
291,,['Fast Food'],Al Mareija,Chicken Express Restaurant
292,,"['Indian', 'Biryani']",Al Mareija,Mehfil Biryani
293,,"['Arabian', 'Middle Eastern']",Al Majaz,Al Bait Al Baghdadi - البيت البغدادي
